,Area,Count,maxFeret,minFeret,Perimeter,class
1,34.59707317,1394,7.178624103,4.846645624,24.15543329,U
2,37.83452241,1294,7.534622102,5.069884853,25.00661128,U
3,37.42387593,1338,7.354160688,4.994524664,24.08475486,U
4,36.1337853,1374,7.267335517,4.817726346,23.77561208,U
5,31.65249298,1566,6.917425287,4.656927842,22.81845849,U
6,36.76876496,1404,7.362017094,4.938942308,24.21788248,U
7,36.51761311,1388,7.220695245,4.850476945,24.00024135,U
8,35.34619724,1379,7.166572154,4.814948513,23.82668745,U
9,35.92706705,1387,7.403596972,4.906136265,24.33769142,U
10,36.52930556,1368,7.332296784,4.929384503,24.3722807,U
11,31.46445425,1530,7.071065359,4.757771895,23.2567183,U
12,31.06586011,1587,7.008277883,4.701740391,22.68035665,U
13,31.77399289,1547,7.090623142,4.729294764,22.96770136,U
14,32.19550263,1522,7.158202365,4.807260841,23.12511958,U
15,36.66596479,1420,7.592484507,5.065303521,24.70200352,U
16,33.33958508,1475,7.052242712,4.729895593,22.93469966,U
17,33.33050324,1542,7.250690013,4.87069585,23.41900259,U
18,38.55271741,1419,7.676292459,5.213816772,24.5323277,U
19,36.50379131,1404,7.515978632,5.146707977,24.51078917,U
20,36.34886338,1398,7.552102289,5.062316881,24.45354578,U
21,30.6449988,1661,7.053248043,4.726726069,22.28521252,U
22,34.38376034,1523,7.530169402,5.031814839,23.93732108,U
23,35.74961081,1480,7.603114865,5.134267568,24.26490811,U
24,39.23123229,1369,7.7001271,5.158439007,24.61314901,U
25,38.46684467,1397,7.69634073,5.229406586,24.84017251,U
26,34.27331976,1498,7.410142857,5.028371162,23.76448531,U
27,32.9001455,1512,7.202445767,4.819046296,23.00620172,U
28,32.15902579,1590,7.291993082,4.908559748,23.35608302,U
29,33.21348217,1514,7.287695509,4.952126156,23.2506823,U
30,33.78346247,1479,7.303435429,4.952564571,23.71646721,U
31,27.48127756,1769,6.800123799,4.589585642,21.47760712,U
32,24.83175937,1895,6.493404222,4.316150396,20.38497995,U
33,28.32546087,1738,6.849942463,4.629096663,21.79977445,U
34,26.51691471,1829,6.745303445,4.509142154,21.25024932,U
35,27.07110722,1856,6.819979526,4.573461746,21.50351563,U
36,25.82202527,1820,6.656185165,4.395942308,20.95106209,U
37,27.63681018,1807,6.787801328,4.473759823,21.28365634,U
38,26.83190708,1808,6.702573009,4.492504978,21.19571018,U
39,27.4673411,1803,6.915964504,4.583384914,21.84363283,U
40,24.97706559,1921,6.501326913,4.386867257,20.65571733,U
41,18.96279776,2408,5.913655316,3.940208472,18.27684427,U
